UMKC,100.63880168474,108.19550829807,0.30309081742495,15–14,15,29,50.9,52.9,40.9,39.1,20.7,19.2,31.5,33.3,49.9,52.1,34.9,36.6,6.7,9.2,45.3,54.2,41.3,31.2,65.8,2011,-7.8577896639739,66.1,71.4
Baylor,106.34752536473,96.350794390941,0.75680486099455,17–13,17,30,51.4,47.8,42.6,35.2,23.4,21.8,36.3,30.9,50.9,45.9,35.1,34.3,12.0,6.9,47.9,53.9,29.1,34.3,66.5,2011,-3.4902202559351,69.8,68.5
Oral Roberts,109.11105774896,105.60315675546,0.59285892967334,19–15,19,34,52.7,51.4,41.4,42.6,18.9,19.0,36.5,32.1,51.7,50.4,36.9,35.8,7.5,8.2,48.2,47.2,27.0,29.8,67.2,2011,-7.1508122403639,71.7,73.5
Ohio,105.77474607217,103.30840797536,0.56741689452724,18–15,18,33,50.1,50.6,38.3,40.3,19.1,21.8,33.6,32.3,48.3,49.1,35.4,35.8,6.6,9.9,59.8,55.0,35.9,33.5,68.5,2011,-8.9883723810613,72.0,69.7
Winthrop,93.638569447341,100.95279854557,0.29631180399882,11–17,11,28,44.8,48.1,36.6,39.4,18.8,21.1,32.5,31.2,44.6,46.3,30.2,34.4,9.4,9.6,47.9,54.1,23.8,35.2,66.1,2011,-12.255210426268,64.0,69.1
Northern Illinois,97.338442541871,108.29261180988,0.22681324085747,8–21,8,29,47.1,50.0,38.5,43.0,20.5,16.7,30.9,29.7,46.6,48.8,32.2,35.0,6.4,8.6,51.0,49.9,31.4,31.9,68.9,2011,-15.403584259912,69.6,67.7
Georgia Tech,100.46309150269,93.739667930539,0.68924523121053,13–18,13,31,45.7,50.2,31.8,45.2,19.6,23.8,33.5,29.1,46.2,47.0,29.9,37.9,11.7,6.8,54.3,56.2,34.7,32.5,69.5,2011,-6.95798215551,68.9,66.9
Kent St.,102.94265374121,98.477259131652,0.62480269360549,22–11,22,33,47.8,46.8,36.1,32.0,18.9,21.0,36.3,35.4,47.2,46.7,33.0,31.3,10.2,10.2,53.5,54.1,27.8,31.8,67.5,2011,-3.9627026263197,66.5,65.3
High Point,93.31811621857,108.47368644305,0.15050143171633,10–19,10,29,46.2,51.4,38.3,48.7,22.2,21.3,31.6,34.8,43.7,51.7,34.7,33.8,7.7,10.3,48.5,49.4,29.4,30.1,67.5,2011,-14.61151471755,67.1,70.7
Weber St.,102.92451171015,104.12170537528,0.46680059251485,15–13,15,28,51.3,49.1,36.3,38.6,19.4,17.1,26.5,28.3,45.8,45.1,40.8,37.5,7.8,9.7,52.2,50.6,35.8,35.7,65.5,2011,-7.1348923884025,75.8,71.8
Maine,103.71320889399,106.4467756157,0.42575804843735,14–15,14,29,51.4,48.6,40.5,33.2,19.7,17.9,30.7,32.3,50.8,44.9,35.0,37.1,9.2,9.4,54.0,57.1,34.0,35.0,66.0,2011,-10.126120306724,70.0,70.9
Radford,85.274079765523,106.99627988155,0.068521816232398,2–24,2,26,42.3,51.6,37.9,40.4,23.8,21.6,30.9,36.5,40.6,50.2,31.0,36.0,8.5,10.4,48.0,63.4,29.2,37.6,67.6,2011,-19.225925962178,62.0,64.8
SMU,103.44919635882,102.12164717332,0.53706513261544,14–14,14,28,56.6,50.6,33.6,31.9,22.6,22.2,24.1,33.1,54.9,45.8,39.3,39.7,8.5,7.5,62.5,52.0,43.1,34.8,61.1,2011,-8.5629445394913,74.5,70.6
Richmond,110.19447572181,95.747386374906,0.83426133961491,27–7,27,34,53.6,44.6,33.4,29.2,16.6,19.8,28.2,32.9,50.0,44.4,40.0,30.1,10.5,7.7,60.0,49.5,36.5,30.0,63.9,2011,1.8330084515285,69.1,68.9
Providence,107.37372981401,101.60286657542,0.65369108991468,15–17,15,32,47.7,49.6,37.6,30.0,17.6,19.5,37.2,35.4,47.9,49.8,31.5,32.7,10.0,9.8,46.7,54.6,33.4,29.2,72.5,2011,-5.2421636558418,66.9,70.9
Louisville,111.40120974514,89.707896170727,0.92348466529759,25–9,25,34,52.5,44.5,29.8,40.0,18.9,23.2,35.2,35.0,51.5,43.8,36.1,30.6,13.4,7.5,64.1,51.8,40.5,33.0,68.0,2011,4.5558255893381,66.9,69.8
Davidson,101.38445333092,101.39833140956,0.49960648071817,16–14,16,30,48.9,48.3,37.1,49.8,21.3,19.0,35.7,28.8,47.8,47.3,33.7,34.0,7.3,10.8,51.8,44.8,40.1,27.8,68.2,2011,-7.665089123547,73.0,70.0
